,heading
532,248.0
533,249.0
534,249.0
535,267.0
536,267.0
537,267.0
538,152.0
539,152.0
540,290.0
541,11.0
542,301.0
543,320.0
544,302.0
545,357.0
546,218.0
547,61.0
548,90.0
549,254.0
550,253.0
551,263.0
552,218.0
553,244.0
554,171.0
555,350.0
556,301.0
557,245.0
558,42.0
559,41.0
560,82.0
561,35.0
562,35.0
563,64.0
564,64.0
565,271.0
566,262.0
567,243.0
568,272.0
569,271.0
570,270.0
571,213.0
572,213.0
573,178.0
574,260.0
575,157.0
576,279.0
577,5.0
578,321.0
579,321.0
580,321.0
581,321.0
582,321.0
583,184.0
584,112.0
585,112.0
586,112.0
587,299.0
588,351.0
589,340.0
590,340.0
591,359.0
592,359.0
593,6.0
594,244.0
595,244.0
596,244.0
597,32.0
598,32.0
599,57.0
600,72.0
601,259.0
602,271.0
603,271.0
604,271.0
605,271.0
606,271.0
607,271.0
608,271.0
609,199.0
610,140.0
611,297.0
612,234.0
613,313.0
614,226.0
615,226.0
616,226.0
617,244.0
618,245.0
619,183.0
620,181.0
621,182.0
622,169.0
623,300.0
624,300.0
625,354.0
626,30.0
627,287.0
628,320.0
629,4.0
630,355.0
631,349.0
632,54.0
633,299.0
634,5.0
635,8.0
636,336.0
637,41.0
638,41.0
639,46.0
640,45.0
641,74.0
642,306.0
643,303.0
644,252.0
645,252.0
646,251.0
647,237.0
648,222.0
649,217.0
650,217.0
651,217.0
652,212.0
653,212.0
654,212.0
655,214.0
656,214.0
657,179.0
658,178.0
659,270.0
660,357.0
661,325.0
662,299.0
663,334.0
664,344.0
665,342.0
666,244.0
667,247.0
668,159.0
669,158.0
670,275.0
671,355.0
672,0.0
673,358.0
674,244.0
675,39.0
676,39.0
677,39.0
678,47.0
679,29.0
680,29.0
681,46.0
682,46.0
683,46.0
684,63.0
685,74.0
686,70.0
687,180.0
688,90.0
689,68.0
690,323.0
691,323.0
692,322.0
693,322.0
694,322.0
695,321.0
696,60.0
697,44.0
698,66.0
699,70.0
700,70.0
701,70.0
702,70.0
703,28.0
704,27.0
705,48.0
706,47.0
707,43.0
708,44.0
709,62.0
710,17.0
711,17.0
712,23.0
713,26.0
714,31.0
715,354.0
716,319.0
717,24.0
718,35.0
719,18.0
720,15.0
721,239.0
722,239.0
723,239.0
724,239.0
725,239.0
726,239.0
727,239.0
728,239.0
729,239.0
730,239.0
731,239.0
732,239.0
733,239.0
734,239.0
735,209.0
736,204.0
737,206.0
738,201.0
739,209.0
740,208.0
741,228.0
742,218.0
743,224.0
744,224.0
745,178.0
746,244.0
747,248.0
748,248.0
749,248.0
750,226.0
751,235.0
752,351.0
753,348.0
754,244.0
755,244.0
756,236.0
757,236.0
758,236.0
759,235.0
760,210.0
761,210.0
762,209.0
763,211.0
764,212.0
765,208.0
766,306.0
767,244.0
768,281.0
769,158.0
770,254.0
771,4.0
772,354.0
773,355.0
774,327.0
775,348.0
776,55.0
777,245.0
778,333.0
779,40.0
780,49.0
781,35.0
782,67.0
783,68.0
784,58.0
785,271.0
786,271.0
787,34.0
788,34.0
789,247.0
790,212.0
791,245.0
792,245.0
793,333.0
794,262.0
795,262.0
796,133.0
797,269.0
798,330.0
799,353.0
800,325.0
801,338.0
802,354.0
803,244.0
804,359.0
805,347.0
806,39.0
807,39.0
808,47.0
809,73.0
810,63.0
811,91.0
812,251.0
813,336.0
814,321.0
815,157.0
816,325.0
817,12.0
818,43.0
819,48.0
820,86.0
821,36.0
822,36.0
823,33.0
824,33.0
825,68.0
826,185.0
827,271.0
828,271.0
829,271.0
830,67.0
831,234.0
832,248.0
833,260.0
834,260.0
835,245.0
836,246.0
837,250.0
838,252.0
839,252.0
840,222.0
841,220.0
842,220.0
843,217.0
844,244.0
845,167.0
846,211.0
847,45.0
848,18.0
849,45.0
850,257.0
851,350.0
852,19.0
853,37.0
854,33.0
855,33.0
856,33.0
857,59.0
858,217.0
859,240.0
860,210.0
861,342.0
862,335.0
863,5.0
864,21.0
865,244.0
866,244.0
867,36.0
868,65.0
869,69.0
870,30.0
871,28.0
872,45.0
873,46.0
874,48.0
875,44.0
876,44.0
877,55.0
878,15.0
879,26.0
880,21.0
881,21.0
882,20.0
883,27.0
884,40.0
885,30.0
886,19.0
887,46.0
888,259.0
889,256.0
890,238.0
891,238.0
892,239.0
893,239.0
894,239.0
895,239.0
896,239.0
897,239.0
898,239.0
899,239.0
900,239.0
901,239.0
902,239.0
903,239.0
904,196.0
905,196.0
906,196.0
907,196.0
908,203.0
909,151.0
910,206.0
911,205.0
912,205.0
913,203.0
914,203.0
915,202.0
916,202.0
917,203.0
918,240.0
919,247.0
920,246.0
921,212.0
922,212.0
923,210.0
924,209.0
925,259.0
926,295.0
927,297.0
928,296.0
929,244.0
930,176.0
931,270.0
932,279.0
933,282.0
934,309.0
935,354.0
936,337.0
937,340.0
938,353.0
939,335.0
940,56.0
941,35.0
942,32.0
943,214.0
944,214.0
945,255.0
946,255.0
947,245.0
948,211.0
949,209.0
950,209.0
951,211.0
952,211.0
953,302.0
954,135.0
955,165.0
956,280.0
957,270.0
958,341.0
959,328.0
960,288.0
961,345.0
962,359.0
963,312.0
964,245.0
965,71.0
966,66.0
967,12.0
968,12.0
969,57.0
970,69.0
971,90.0
972,241.0
973,240.0
974,244.0
975,244.0
976,332.0
977,332.0
978,292.0
979,359.0
980,355.0
981,2.0
982,23.0
983,338.0
984,302.0
985,299.0
986,339.0
987,313.0
988,332.0
989,1.0
990,352.0
991,155.0
992,356.0
993,6.0
994,2.0
995,255.0
996,255.0
997,245.0
