,0
0,2020-07-01 00:00:00.000
1,2020-07-01 00:08:20.400
2,2020-07-01 00:16:44.400
3,2020-07-01 00:24:10.800
4,2020-07-01 00:41:49.200
5,2020-07-01 00:52:04.800
6,2020-07-01 01:08:52.800
7,2020-07-01 01:25:40.800
8,2020-07-01 01:36:32.400
9,2020-07-01 01:59:38.400
10,2020-07-01 02:12:25.200
11,2020-07-01 02:20:27.600
12,2020-07-01 02:27:57.600
13,2020-07-01 02:48:43.200
14,2020-07-01 03:35:34.800
15,2020-07-01 03:50:56.400
16,2020-07-01 03:58:44.400
17,2020-07-01 04:09:25.200
18,2020-07-01 04:16:37.200
19,2020-07-01 04:25:30.000
20,2020-07-01 04:35:49.200
21,2020-07-01 04:47:09.600
22,2020-07-01 04:59:27.600
23,2020-07-01 05:34:58.800
24,2020-07-01 05:46:12.000
25,2020-07-01 06:18:10.800
26,2020-07-01 06:42:39.600
27,2020-07-01 06:54:28.800
28,2020-07-01 07:40:08.400
29,2020-07-01 08:07:30.000
30,2020-07-01 08:16:37.200
31,2020-07-01 08:26:38.400
32,2020-07-01 08:53:31.200
33,2020-07-01 09:18:10.800
34,2020-07-01 09:28:44.400
35,2020-07-01 10:42:39.600
36,2020-07-01 10:57:10.800
37,2020-07-01 11:15:39.600
38,2020-07-01 11:27:28.800
39,2020-07-01 11:54:21.600
40,2020-07-01 12:08:27.600
41,2020-07-01 12:50:42.000
42,2020-07-01 13:32:56.400
43,2020-07-01 13:46:15.600
44,2020-07-01 14:03:43.200
45,2020-07-01 14:14:16.800
46,2020-07-01 14:30:43.200
47,2020-07-01 14:46:19.200
48,2020-07-01 15:00:28.800
49,2020-07-01 15:13:15.600
50,2020-07-01 15:41:34.800
51,2020-07-01 15:51:46.800
52,2020-07-01 16:08:38.400
53,2020-07-01 16:19:08.400
54,2020-07-01 16:28:15.600
55,2020-07-01 16:37:15.600
56,2020-07-01 16:58:33.600
57,2020-07-01 17:09:54.000
58,2020-07-01 17:21:14.400
59,2020-07-01 17:47:52.800
60,2020-07-01 17:57:46.800
61,2020-07-01 18:06:39.600
62,2020-07-01 18:34:37.200
63,2020-07-01 18:59:24.000
64,2020-07-01 19:58:19.200
65,2020-07-01 20:09:57.600
66,2020-07-01 20:31:01.200
67,2020-07-01 20:41:31.200
68,2020-07-01 20:49:30.000
69,2020-07-01 21:02:34.800
70,2020-07-01 21:10:58.800
71,2020-07-01 21:18:43.200
72,2020-07-01 21:43:48.000
73,2020-07-01 21:54:43.200
74,2020-07-01 22:03:32.400
75,2020-07-01 22:19:55.200
76,2020-07-01 22:31:33.600
77,2020-07-01 22:54:14.400
78,2020-07-01 23:06:46.800
79,2020-07-01 23:15:43.200
80,2020-07-01 23:31:15.600
81,2020-07-01 23:50:16.800
82,2020-07-01 23:59:34.800
83,2020-07-02 00:13:01.200
84,2020-07-02 00:28:58.800
85,2020-07-02 00:55:48.000
86,2020-07-02 01:15:00.000
87,2020-07-02 01:27:10.800
88,2020-07-02 01:38:27.600
89,2020-07-02 01:48:03.600
90,2020-07-02 01:59:24.000
91,2020-07-02 02:10:12.000
92,2020-07-02 02:24:14.400
93,2020-07-02 02:53:56.400
94,2020-07-02 03:03:10.800
95,2020-07-02 03:23:34.800
96,2020-07-02 04:09:00.000
97,2020-07-02 04:20:45.600
98,2020-07-02 04:34:04.800
99,2020-07-02 05:08:09.600
100,2020-07-02 05:32:56.400
101,2020-07-02 05:42:14.400
102,2020-07-02 06:33:14.400
103,2020-07-02 06:56:31.200
104,2020-07-02 07:07:01.200
105,2020-07-02 07:17:13.200
106,2020-07-02 07:28:33.600
107,2020-07-02 07:44:34.800
108,2020-07-02 08:05:31.200
109,2020-07-02 08:16:04.800
110,2020-07-02 08:46:44.400
111,2020-07-02 09:06:10.800
112,2020-07-02 09:48:36.000
113,2020-07-02 10:05:09.600
114,2020-07-02 10:19:19.200
115,2020-07-02 10:31:12.000
116,2020-07-02 10:48:28.800
117,2020-07-02 11:00:21.600
118,2020-07-02 11:25:51.600
119,2020-07-02 11:40:44.400
120,2020-07-02 13:19:44.400
121,2020-07-02 13:34:08.400
122,2020-07-02 13:55:22.800
123,2020-07-02 14:37:19.200
124,2020-07-02 14:59:27.600
125,2020-07-02 15:36:36.000
126,2020-07-02 15:51:00.000
127,2020-07-02 16:02:52.800
128,2020-07-02 16:36:50.400
129,2020-07-02 17:00:21.600
130,2020-07-02 17:14:52.800
131,2020-07-02 18:56:42.000
132,2020-07-02 19:09:57.600
133,2020-07-02 20:11:02.400
134,2020-07-02 20:24:54.000
135,2020-07-02 20:38:45.600
136,2020-07-02 20:49:19.200
137,2020-07-02 22:05:38.400
138,2020-07-02 22:18:21.600
139,2020-07-02 23:19:26.400
140,2020-07-02 23:39:46.800
141,2020-07-03 00:03:18.000
142,2020-07-03 00:21:14.400
143,2020-07-03 00:34:30.000
144,2020-07-03 01:07:40.800
145,2020-07-03 05:55:04.800
146,2020-07-03 06:24:57.600
147,2020-07-03 06:37:30.000
148,2020-07-03 06:47:09.600
149,2020-07-03 07:17:02.400
150,2020-07-03 07:28:04.800
151,2020-07-03 07:37:08.400
152,2020-07-03 07:54:46.800
153,2020-07-03 08:07:15.600
154,2020-07-03 08:20:16.800
155,2020-07-03 08:29:38.400
156,2020-07-03 08:40:08.400
157,2020-07-03 08:51:10.800
158,2020-07-03 09:02:16.800
159,2020-07-03 09:12:14.400
160,2020-08-11 16:00:00.000
161,2020-08-11 16:09:36.000
162,2020-08-11 16:16:55.200
163,2020-08-11 16:24:03.600
164,2020-08-11 16:33:50.400
165,2020-08-11 16:59:24.000
166,2020-08-11 17:09:39.600
167,2020-08-11 17:18:57.600
168,2020-08-11 17:48:50.400
169,2020-08-11 18:22:26.400
