,0
0,2020-07-01 00:00:00.000
1,2020-07-01 01:05:09.600
2,2020-07-01 02:15:46.800
3,2020-07-01 06:29:02.400
4,2020-07-01 07:36:03.600
5,2020-07-01 08:59:49.200
6,2020-07-01 10:18:25.200
7,2020-07-01 11:14:56.400
8,2020-07-01 16:40:19.200
9,2020-07-01 20:53:24.000
10,2020-07-01 22:17:06.000
11,2020-07-01 23:26:06.000
12,2020-07-02 00:31:08.400
13,2020-07-02 01:49:01.200
14,2020-07-02 02:54:03.600
15,2020-07-02 04:21:32.400
16,2020-07-02 05:39:25.200
17,2020-07-02 09:26:52.800
18,2020-07-02 11:49:01.200
19,2020-07-02 13:54:21.600
20,2020-07-02 15:48:00.000
21,2020-07-02 17:01:19.200
22,2020-07-02 18:31:33.600
23,2020-07-02 22:18:46.800
24,2020-07-02 23:57:32.400
25,2020-07-03 02:02:42.000
26,2020-07-03 04:02:13.200
27,2020-07-03 05:26:20.400
28,2020-07-03 06:34:37.200
29,2020-07-03 07:52:55.200
30,2020-07-03 09:19:33.600
31,2020-07-03 12:28:40.800
32,2020-07-03 16:15:36.000
33,2020-07-03 17:33:14.400
34,2020-07-03 18:54:14.400
35,2020-07-03 20:28:44.400
36,2020-07-03 23:53:20.400
37,2020-07-04 04:36:46.800
38,2020-07-04 05:52:19.200
39,2020-07-04 07:22:19.200
40,2020-07-04 08:28:58.800
41,2020-07-04 11:10:48.000
42,2020-07-04 12:05:38.400
43,2020-07-04 13:02:16.800
44,2020-07-04 15:56:27.600
45,2020-07-04 17:30:07.200
46,2020-07-04 18:36:43.200
47,2020-07-04 20:29:52.800
48,2020-07-04 21:39:57.600
49,2020-07-04 23:03:46.800
50,2020-07-05 01:57:50.400
51,2020-07-05 03:15:14.400
52,2020-07-05 04:14:45.600
53,2020-07-05 05:20:45.600
54,2020-07-05 07:51:28.800
55,2020-07-05 09:57:03.600
56,2020-07-05 11:23:20.400
57,2020-07-05 12:18:28.800
58,2020-07-05 13:45:21.600
59,2020-07-05 14:34:04.800
60,2020-07-05 15:33:32.400
61,2020-07-05 16:36:18.000
62,2020-07-05 17:28:26.400
63,2020-07-05 18:58:44.400
64,2020-07-05 19:59:45.600
65,2020-07-05 20:49:33.600
66,2020-07-06 01:31:37.200
67,2020-07-06 06:53:52.800
68,2020-07-06 08:13:51.600
69,2020-07-06 09:24:21.600
70,2020-07-06 10:22:08.400
71,2020-07-06 11:29:56.400
72,2020-07-06 12:42:39.600
73,2020-07-06 14:08:42.000
74,2020-07-06 16:07:19.200
75,2020-07-06 17:15:36.000
76,2020-07-06 18:30:07.200
77,2020-07-06 19:21:18.000
78,2020-07-06 20:59:13.200
79,2020-07-06 22:04:58.800
80,2020-07-06 23:15:18.000
81,2020-07-07 01:27:39.600
82,2020-07-07 02:28:01.200
83,2020-07-07 03:45:36.000
84,2020-07-07 05:05:56.400
85,2020-07-07 06:28:37.200
86,2020-07-07 07:20:56.400
87,2020-07-07 08:20:06.000
88,2020-07-07 09:57:07.200
89,2020-07-07 13:41:52.800
90,2020-07-07 14:38:02.400
91,2020-07-07 17:06:43.200
92,2020-07-07 18:12:46.800
93,2020-07-07 20:42:21.600
94,2020-07-08 02:53:56.400
95,2020-08-11 16:00:00.000
96,2020-08-11 16:57:00.000
97,2020-08-11 19:18:18.000
98,2020-08-11 20:25:19.200
99,2020-08-11 21:43:55.200
100,2020-08-11 23:57:00.000
101,2020-08-12 03:24:10.800
102,2020-08-12 04:42:10.800
103,2020-08-12 08:09:14.400
104,2020-08-12 09:40:19.200
105,2020-08-12 15:57:00.000
106,2020-08-12 20:10:01.200
107,2020-08-12 22:23:56.400
108,2020-08-13 00:06:36.000
109,2020-08-13 01:34:08.400
110,2020-08-13 02:52:37.200
111,2020-08-13 04:30:46.800
112,2020-08-13 09:15:07.200
113,2020-08-13 12:41:49.200
114,2020-08-13 13:59:38.400
115,2020-08-13 18:43:48.000
116,2020-08-13 20:02:09.600
117,2020-08-13 23:47:45.600
118,2020-08-14 00:58:44.400
119,2020-08-14 03:53:27.600
120,2020-08-14 05:13:55.200
121,2020-08-14 06:16:58.800
122,2020-08-14 07:32:42.000
123,2020-08-14 08:50:24.000
124,2020-08-14 11:59:34.800
125,2020-08-14 14:12:07.200
126,2020-08-14 18:24:14.400
127,2020-08-14 19:30:57.600
128,2020-08-14 23:16:08.400
129,2020-08-15 03:59:38.400
130,2020-08-15 05:02:38.400
131,2020-08-15 08:10:12.000
132,2020-08-15 09:23:20.400
133,2020-08-15 10:18:36.000
134,2020-08-15 11:17:49.200
135,2020-08-15 23:53:13.200
136,2020-08-16 00:36:46.800
137,2020-08-16 01:26:45.600
138,2020-08-16 03:14:38.400
139,2020-08-16 03:53:02.400
140,2020-08-16 04:55:30.000
141,2020-08-16 05:44:42.000
142,2020-08-16 06:49:22.800
143,2020-08-16 07:37:08.400
144,2020-08-16 08:20:38.400
145,2020-08-16 09:41:27.600
146,2020-08-16 10:56:16.800
147,2020-08-16 13:17:38.400
148,2020-08-16 14:15:10.800
149,2020-08-16 15:42:07.200
150,2020-08-16 17:16:19.200
151,2020-08-16 18:36:25.200
152,2020-08-16 22:22:22.800
153,2020-08-16 23:16:12.000
154,2020-08-17 00:09:36.000
155,2020-08-17 01:43:40.800
156,2020-08-17 03:21:54.000
157,2020-08-17 04:36:36.000
158,2020-08-17 07:17:52.800
159,2020-08-17 08:15:46.800
160,2020-08-17 12:24:39.600
161,2020-08-17 13:25:37.200
162,2020-08-17 14:59:38.400
163,2020-08-17 15:55:37.200
164,2020-08-17 16:58:15.600
165,2020-08-17 17:57:32.400
166,2020-08-17 19:23:38.400
167,2020-08-17 20:12:39.600
168,2020-08-17 22:24:18.000
169,2020-08-17 23:39:25.200
170,2020-08-18 00:27:21.600
171,2020-08-18 03:07:04.800
172,2020-08-18 05:19:33.600
173,2020-08-18 06:42:57.600
174,2020-08-18 09:22:37.200
175,2020-08-18 10:16:12.000
176,2020-08-18 11:36:36.000
177,2020-08-18 12:35:24.000
178,2020-08-18 14:01:55.200
179,2020-08-18 15:22:15.600
180,2020-08-18 16:24:18.000
181,2020-08-18 19:17:16.800
182,2020-08-18 20:14:56.400
183,2020-08-18 21:15:14.400
184,2020-08-18 22:07:30.000
185,2020-08-18 23:59:52.800
186,2020-08-19 01:41:16.800
187,2020-08-19 04:48:32.400
188,2020-08-19 06:46:37.200
189,2020-08-19 10:09:18.000
190,2020-09-22 08:00:00.000
191,2020-09-22 10:42:54.000
192,2020-09-22 12:06:39.600
193,2020-09-22 13:02:16.800
194,2020-09-22 14:23:42.000
195,2020-09-22 15:44:27.600
196,2020-09-22 16:40:01.200
197,2020-09-22 18:00:46.800
198,2020-09-22 19:14:16.800
199,2020-09-23 02:49:48.000
200,2020-09-23 06:35:49.200
201,2020-09-23 08:10:40.800
202,2020-09-23 09:24:07.200
203,2020-09-23 10:47:45.600
204,2020-09-23 11:54:43.200
205,2020-09-24 00:33:07.200
206,2020-09-24 02:45:57.600
207,2020-09-24 09:05:02.400
208,2020-09-24 11:11:24.000
209,2020-09-24 12:29:13.200
210,2020-09-24 13:27:32.400
211,2020-09-24 15:41:13.200
212,2020-09-24 21:03:28.800
213,2020-09-24 22:27:39.600
214,2020-09-24 23:36:28.800
215,2020-09-25 00:49:08.400
216,2020-09-25 01:50:31.200
217,2020-09-25 05:16:58.800
218,2020-09-25 07:37:48.000
219,2020-09-25 09:37:19.200
220,2020-09-25 11:07:26.400
221,2020-09-25 12:12:18.000
222,2020-09-25 14:54:21.600
223,2020-09-25 16:17:45.600
224,2020-09-25 17:28:37.200
225,2020-09-25 18:35:20.400
226,2020-09-25 19:43:33.600
227,2020-09-25 20:36:18.000
228,2020-09-25 22:14:52.800
229,2020-09-25 23:57:07.200
230,2020-09-26 01:21:03.600
231,2020-09-26 08:54:10.800
232,2020-09-26 10:24:07.200
233,2020-09-26 12:37:22.800
234,2020-09-26 14:36:32.400
235,2020-09-26 16:06:25.200
236,2020-09-26 16:47:34.800
237,2020-09-26 17:37:51.600
238,2020-09-26 18:33:57.600
239,2020-09-26 21:28:01.200
240,2020-09-26 23:21:10.800
241,2020-09-27 00:41:20.400
242,2020-09-27 01:45:57.600
243,2020-09-27 03:12:18.000
244,2020-09-27 04:27:39.600
245,2020-09-27 06:10:22.800
246,2020-09-27 07:33:28.800
247,2020-09-27 09:39:00.000
248,2020-09-27 12:47:16.800
249,2020-09-27 13:40:40.800
250,2020-09-27 14:26:45.600
251,2020-09-27 16:14:16.800
252,2020-09-27 17:34:19.200
253,2020-09-27 18:28:04.800
254,2020-09-27 21:21:43.200
255,2020-09-27 22:17:42.000
256,2020-09-28 00:05:09.600
257,2020-09-28 01:11:31.200
258,2020-09-28 02:26:09.600
259,2020-09-28 03:41:20.400
260,2020-09-28 04:58:58.800
261,2020-09-28 09:07:37.200
262,2020-09-28 11:28:30.000
263,2020-09-28 12:28:58.800
264,2020-09-28 14:49:48.000
265,2020-09-28 15:49:04.800
266,2020-09-28 19:57:32.400
267,2020-09-28 21:12:36.000
268,2020-09-28 22:15:07.200
269,2020-09-28 23:18:57.600
270,2020-09-29 01:59:45.600
271,2020-09-29 03:20:09.600
272,2020-09-29 04:07:40.800
273,2020-09-29 06:37:40.800
274,2020-09-29 10:22:40.800
275,2020-09-29 11:17:09.600
276,2020-09-29 12:59:24.000
277,2020-09-29 14:57:46.800
278,2020-09-29 17:26:31.200
279,2020-09-29 18:27:14.400
280,2020-09-29 23:48:18.000
281,2020-09-30 01:17:31.200
282,2020-09-30 02:11:02.400
283,2020-09-30 03:17:02.400
284,2020-09-30 05:45:39.600
285,2020-11-03 00:00:00.000
286,2020-11-03 00:50:42.000
287,2020-11-03 01:53:31.200
288,2020-11-03 04:25:30.000
289,2020-11-03 06:32:09.600
290,2020-11-03 07:42:50.400
291,2020-11-03 08:51:54.000
292,2020-11-03 09:44:31.200
293,2020-11-03 10:35:09.600
294,2020-11-03 11:53:42.000
295,2020-11-03 13:14:24.000
296,2020-11-03 17:59:02.400
297,2020-11-03 19:14:56.400
298,2020-11-03 22:23:13.200
299,2020-11-03 23:34:19.200
300,2020-11-04 00:45:25.200
301,2020-11-04 02:28:01.200
302,2020-11-04 05:37:33.600
303,2020-11-04 11:02:24.000
304,2020-11-04 15:44:27.600
305,2020-11-04 19:11:09.600
306,2020-11-04 20:59:24.000
307,2020-11-04 22:22:58.800
308,2020-11-04 23:57:39.600
309,2020-11-05 01:18:46.800
310,2020-11-05 02:45:25.200
311,2020-11-05 07:29:16.800
312,2020-11-05 09:00:07.200
313,2020-11-05 15:15:43.200
314,2020-11-05 20:40:04.800
315,2020-11-05 21:50:27.600
316,2020-11-06 02:34:08.400
317,2020-11-06 05:43:15.600
318,2020-11-06 09:28:26.400
319,2020-11-06 11:50:09.600
320,2020-11-06 13:17:24.000
321,2020-11-06 14:37:48.000
322,2020-11-06 15:58:48.000
323,2020-11-06 16:56:56.400
324,2020-11-06 17:57:43.200
325,2020-11-06 23:21:28.800
326,2020-11-07 02:47:27.600
327,2020-11-07 03:35:16.800
328,2020-11-07 04:43:55.200
329,2020-11-07 06:57:07.200
330,2020-11-07 07:59:34.800
331,2020-11-07 08:48:46.800
332,2020-11-07 09:41:24.000
333,2020-11-07 10:31:15.600
334,2020-11-07 12:36:57.600
335,2020-11-07 14:30:07.200
336,2020-11-07 15:50:16.800
337,2020-11-07 16:54:54.000
338,2020-11-07 18:21:14.400
339,2020-11-07 19:36:36.000
340,2020-11-07 21:19:19.200
341,2020-11-07 22:42:25.200
342,2020-11-08 00:47:56.400
343,2020-11-08 03:56:13.200
344,2020-11-08 04:49:37.200
345,2020-11-08 05:35:42.000
346,2020-11-08 07:23:13.200
347,2020-11-08 08:43:15.600
348,2020-11-08 09:37:01.200
349,2020-11-08 12:30:39.600
