,0
0,2020-07-01 00:00:00.000
1,2020-07-01 00:08:09.600
2,2020-07-01 00:15:25.200
3,2020-07-01 00:24:46.800
4,2020-07-01 00:41:56.400
5,2020-07-01 00:49:04.800
6,2020-07-01 00:56:02.400
7,2020-07-01 01:02:09.600
8,2020-07-01 01:08:38.400
9,2020-07-01 01:15:10.800
10,2020-07-01 01:21:50.400
11,2020-07-01 01:38:09.600
12,2020-07-01 01:47:49.200
13,2020-07-01 01:55:37.200
14,2020-07-01 02:06:28.800
15,2020-07-01 02:18:00.000
16,2020-07-01 02:26:16.800
17,2020-07-01 02:35:13.200
18,2020-07-01 02:42:28.800
19,2020-07-01 02:50:31.200
20,2020-07-01 02:57:18.000
21,2020-07-01 03:04:15.600
22,2020-07-01 03:20:34.800
23,2020-07-01 03:32:56.400
24,2020-07-01 03:40:48.000
25,2020-07-01 04:06:00.000
26,2020-07-01 04:15:54.000
27,2020-07-01 04:26:27.600
28,2020-07-01 04:40:22.800
29,2020-07-01 05:08:13.200
30,2020-07-01 06:17:31.200
31,2020-07-01 06:25:33.600
32,2020-07-01 06:33:07.200
33,2020-07-01 06:43:55.200
34,2020-07-01 06:51:43.200
35,2020-07-01 06:59:56.400
36,2020-07-01 07:09:54.000
37,2020-07-01 07:20:42.000
38,2020-07-01 07:28:15.600
39,2020-07-01 07:35:06.000
40,2020-07-01 07:53:31.200
41,2020-07-01 08:19:01.200
42,2020-07-01 08:34:40.800
43,2020-07-01 08:45:00.000
44,2020-07-01 08:56:09.600
45,2020-07-01 09:04:40.800
46,2020-07-01 09:25:33.600
47,2020-07-01 09:36:21.600
48,2020-07-01 09:45:07.200
49,2020-07-01 09:56:38.400
50,2020-07-01 10:04:33.600
51,2020-07-01 10:11:09.600
52,2020-07-01 10:34:22.800
53,2020-07-01 10:44:42.000
54,2020-07-01 11:49:44.400
55,2020-07-01 12:00:50.400
56,2020-07-01 12:09:00.000
57,2020-07-01 12:18:18.000
58,2020-07-01 12:25:44.400
59,2020-07-01 12:48:57.600
60,2020-07-01 12:58:55.200
61,2020-07-01 13:11:24.000
62,2020-07-01 13:21:21.600
63,2020-07-01 13:33:50.400
64,2020-07-01 13:41:38.400
65,2020-07-01 13:49:48.000
66,2020-07-01 13:57:50.400
67,2020-07-01 14:08:56.400
68,2020-07-01 14:16:33.600
69,2020-07-01 14:32:38.400
70,2020-07-01 14:48:54.000
71,2020-07-01 14:57:10.800
72,2020-07-01 15:04:48.000
73,2020-07-01 15:14:45.600
74,2020-07-01 15:31:01.200
75,2020-07-01 15:46:15.600
76,2020-07-01 16:00:39.600
77,2020-07-01 16:36:46.800
78,2020-07-01 16:46:37.200
79,2020-07-01 16:54:39.600
80,2020-07-01 17:09:10.800
81,2020-07-01 17:24:03.600
82,2020-07-01 19:49:33.600
83,2020-07-01 19:59:45.600
84,2020-07-01 20:08:20.400
85,2020-07-01 20:32:34.800
86,2020-07-01 20:41:56.400
87,2020-07-01 21:07:15.600
88,2020-07-01 21:19:51.600
89,2020-07-01 21:42:14.400
90,2020-07-01 22:23:49.200
91,2020-07-02 00:12:50.400
92,2020-07-02 00:23:02.400
93,2020-07-02 00:36:54.000
94,2020-07-02 00:57:39.600
95,2020-07-02 01:09:21.600
96,2020-07-02 01:18:39.600
97,2020-07-02 01:27:03.600
98,2020-07-02 01:54:03.600
99,2020-07-02 02:02:31.200
100,2020-07-02 02:14:45.600
101,2020-07-02 02:25:01.200
102,2020-07-02 02:36:25.200
103,2020-07-02 02:47:24.000
104,2020-07-02 02:57:43.200
105,2020-07-02 03:07:19.200
106,2020-07-02 03:20:13.200
107,2020-07-02 03:33:32.400
108,2020-07-02 04:10:40.800
109,2020-07-02 04:20:56.400
110,2020-07-02 04:30:43.200
111,2020-07-02 04:37:58.800
112,2020-07-02 04:45:10.800
113,2020-07-02 04:51:57.600
114,2020-07-02 05:00:43.200
115,2020-07-02 05:30:39.600
116,2020-07-02 05:42:32.400
117,2020-07-02 05:53:16.800
118,2020-07-02 05:59:45.600
119,2020-07-02 06:08:45.600
120,2020-07-02 06:27:14.400
121,2020-07-02 06:37:30.000
122,2020-07-02 06:45:25.200
123,2020-07-02 06:53:09.600
124,2020-07-02 07:11:31.200
125,2020-07-02 07:20:16.800
126,2020-07-02 07:27:54.000
127,2020-07-02 07:45:25.200
128,2020-07-02 07:53:34.800
129,2020-07-02 08:09:00.000
130,2020-07-02 08:18:46.800
131,2020-07-02 08:26:38.400
132,2020-07-02 08:49:12.000
133,2020-07-02 08:59:42.000
134,2020-07-02 09:19:15.600
135,2020-07-02 09:27:10.800
136,2020-07-02 09:44:27.600
137,2020-07-02 09:53:20.400
138,2020-07-02 10:03:50.400
139,2020-07-02 10:21:07.200
140,2020-07-02 10:50:13.200
141,2020-07-02 10:59:42.000
142,2020-07-02 11:09:10.800
143,2020-07-02 11:18:21.600
144,2020-07-02 11:26:31.200
145,2020-07-02 11:44:02.400
146,2020-07-02 11:52:01.200
147,2020-07-02 12:00:00.000
148,2020-07-02 12:10:44.400
149,2020-07-02 12:18:54.000
150,2020-07-02 12:28:30.000
151,2020-07-02 12:36:28.800
152,2020-07-02 12:45:07.200
153,2020-07-02 12:53:52.800
154,2020-07-02 13:03:57.600
155,2020-07-02 13:59:20.400
156,2020-07-02 14:08:13.200
157,2020-07-02 14:28:22.800
158,2020-07-02 14:37:22.800
159,2020-07-02 14:51:07.200
160,2020-07-02 15:01:22.800
161,2020-07-02 15:09:43.200
162,2020-07-02 15:53:42.000
163,2020-07-02 16:05:20.400
164,2020-07-02 16:15:32.400
165,2020-07-02 16:41:13.200
166,2020-07-02 17:09:14.400
167,2020-07-02 17:19:12.000
168,2020-07-02 17:57:43.200
169,2020-07-02 18:41:45.600
170,2020-07-02 19:02:20.400
171,2020-07-02 19:13:19.200
172,2020-07-02 19:26:27.600
173,2020-07-02 19:54:28.800
174,2020-07-02 20:15:03.600
175,2020-07-02 20:27:25.200
176,2020-07-02 20:40:55.200
177,2020-07-02 21:05:56.400
178,2020-07-02 21:24:00.000
179,2020-07-02 21:47:09.600
180,2020-07-02 22:00:10.800
181,2020-07-02 22:09:46.800
182,2020-07-02 22:34:48.000
183,2020-07-02 23:10:51.600
184,2020-07-02 23:34:01.200
185,2020-07-03 00:10:08.400
186,2020-07-03 00:42:10.800
187,2020-07-03 01:18:14.400
188,2020-07-03 01:32:24.000
189,2020-07-03 01:48:25.200
190,2020-07-03 02:06:28.800
191,2020-07-03 03:27:36.000
192,2020-08-11 16:00:00.000
193,2020-08-11 16:17:09.600
194,2020-08-11 16:26:52.800
195,2020-08-11 16:40:30.000
196,2020-08-11 17:00:54.000
197,2020-08-11 17:08:13.200
198,2020-08-11 17:40:51.600
199,2020-08-11 17:52:22.800
200,2020-08-11 18:01:12.000
201,2020-08-11 18:12:03.600
202,2020-08-11 18:49:30.000
203,2020-08-11 18:58:33.600
204,2020-08-11 19:10:04.800
205,2020-08-11 19:18:18.000
206,2020-08-11 19:59:06.000
207,2020-08-11 20:19:04.800
208,2020-08-11 20:26:20.400
209,2020-08-11 20:35:52.800
210,2020-08-11 20:43:55.200
211,2020-08-11 21:09:25.200
212,2020-08-11 21:18:43.200
213,2020-08-11 21:27:43.200
214,2020-08-11 21:34:48.000
215,2020-08-11 21:41:52.800
216,2020-08-11 21:49:19.200
217,2020-08-11 21:55:55.200
218,2020-08-11 22:08:09.600
219,2020-08-11 22:16:55.200
220,2020-08-11 22:25:26.400
221,2020-08-11 22:56:02.400
222,2020-08-11 23:04:26.400
223,2020-08-11 23:55:26.400
224,2020-08-12 00:05:06.000
225,2020-08-12 00:24:39.600
