,0
0,2020-07-01 00:00:00.000
1,2020-07-01 09:20:42.000
2,2020-07-01 12:41:20.400
3,2020-07-01 14:14:45.600
4,2020-07-01 15:25:55.200
5,2020-07-01 20:02:16.800
6,2020-07-01 21:25:19.200
7,2020-07-02 01:30:32.400
8,2020-07-02 06:50:45.600
9,2020-07-02 07:53:49.200
10,2020-07-02 11:38:24.000
11,2020-07-02 13:56:16.800
12,2020-07-02 21:24:36.000
13,2020-07-02 23:51:39.600
14,2020-07-03 01:00:36.000
15,2020-07-03 02:38:13.200
16,2020-07-03 03:59:52.800
17,2020-07-03 04:54:32.400
18,2020-07-03 06:08:02.400
19,2020-07-03 07:00:07.200
20,2020-07-03 07:55:19.200
21,2020-07-03 08:49:58.800
22,2020-07-03 10:34:58.800
23,2020-07-03 11:37:58.800
24,2020-07-03 12:48:00.000
25,2020-07-03 14:12:57.600
26,2020-07-03 15:32:56.400
27,2020-07-03 20:47:52.800
28,2020-07-03 23:40:12.000
29,2020-07-04 01:01:51.600
30,2020-07-04 02:52:15.600
31,2020-07-04 04:34:01.200
32,2020-07-04 06:05:49.200
33,2020-07-04 09:49:44.400
34,2020-07-04 11:17:52.800
35,2020-07-04 14:24:46.800
36,2020-08-11 16:00:00.000
37,2020-08-11 23:28:33.600
38,2020-08-12 01:31:08.400
39,2020-08-12 02:54:10.800
40,2020-08-12 06:14:49.200
41,2020-08-12 07:55:19.200
42,2020-08-12 09:53:20.400
43,2020-08-13 04:16:44.400
44,2020-08-13 05:22:40.800
45,2020-08-13 08:43:15.600
46,2020-08-13 11:03:36.000
47,2020-08-13 12:53:52.800
48,2020-08-13 14:31:19.200
49,2020-08-13 15:42:28.800
50,2020-08-13 18:32:09.600
51,2020-08-13 20:19:04.800
52,2020-08-13 21:23:56.400
53,2020-08-13 22:50:09.600
54,2020-08-14 02:10:40.800
55,2020-08-14 08:24:03.600
56,2020-08-14 10:34:01.200
57,2020-08-14 13:57:43.200
58,2020-08-14 15:33:36.000
59,2020-08-14 16:44:42.000
