,0
0,2020-07-01 00:00:00.000
1,2020-07-01 00:13:51.600
2,2020-07-01 00:23:09.600
3,2020-07-01 00:37:40.800
4,2020-07-01 01:05:34.800
5,2020-07-01 01:33:28.800
6,2020-07-01 01:59:56.400
7,2020-07-01 02:15:18.000
8,2020-07-01 02:46:01.200
9,2020-07-01 02:58:40.800
10,2020-07-01 03:26:34.800
11,2020-07-01 03:50:13.200
12,2020-07-01 04:31:48.000
13,2020-07-01 05:02:31.200
14,2020-07-01 05:51:00.000
15,2020-07-01 06:25:08.400
16,2020-07-01 06:48:25.200
17,2020-07-01 07:00:03.600
18,2020-07-01 09:31:15.600
19,2020-07-01 09:51:25.200
20,2020-07-01 10:32:06.000
21,2020-07-01 11:15:14.400
22,2020-07-01 11:40:22.800
23,2020-07-01 13:16:48.000
24,2020-07-01 14:57:25.200
25,2020-07-01 16:38:02.400
26,2020-07-01 21:39:50.400
27,2020-07-01 22:44:45.600
28,2020-07-02 00:25:22.800
29,2020-07-02 01:08:31.200
30,2020-07-02 01:19:19.200
31,2020-07-02 01:46:44.400
32,2020-07-02 02:29:34.800
33,2020-07-02 03:07:04.800
34,2020-07-02 03:48:57.600
35,2020-07-02 04:22:19.200
36,2020-07-02 04:39:57.600
37,2020-07-02 04:58:40.800
38,2020-07-02 05:11:09.600
39,2020-07-02 05:24:10.800
40,2020-07-02 05:35:16.800
41,2020-07-02 05:44:24.000
42,2020-07-02 06:01:04.800
43,2020-07-02 06:13:33.600
44,2020-07-02 06:30:14.400
45,2020-07-02 06:40:04.800
46,2020-07-02 07:10:04.800
47,2020-07-02 07:47:34.800
48,2020-07-02 08:26:06.000
49,2020-07-02 10:52:48.000
50,2020-07-02 11:09:46.800
51,2020-07-02 11:40:37.200
52,2020-07-02 12:29:31.200
53,2020-07-02 12:57:32.400
54,2020-07-02 13:10:55.200
55,2020-07-02 14:02:20.400
56,2020-07-02 14:13:48.000
57,2020-07-02 14:25:12.000
58,2020-07-02 14:36:36.000
59,2020-07-02 14:51:18.000
60,2020-07-02 15:15:03.600
61,2020-07-02 15:33:00.000
62,2020-07-02 15:51:21.600
63,2020-07-02 16:53:09.600
64,2020-07-02 17:04:30.000
65,2020-07-02 17:30:43.200
66,2020-07-02 17:40:04.800
67,2020-07-02 17:54:50.400
68,2020-07-02 18:17:16.800
69,2020-07-02 18:29:34.800
70,2020-07-02 18:39:43.200
71,2020-07-02 18:53:45.600
72,2020-07-02 19:04:58.800
73,2020-07-02 19:44:13.200
74,2020-07-02 19:54:43.200
75,2020-07-02 20:08:45.600
76,2020-07-02 20:34:55.200
77,2020-07-02 21:03:00.000
78,2020-07-02 21:15:03.600
79,2020-07-02 22:04:08.400
80,2020-07-02 22:15:43.200
81,2020-07-02 22:28:48.000
82,2020-07-02 22:40:08.400
83,2020-07-02 22:50:31.200
84,2020-07-02 23:40:37.200
85,2020-07-02 23:56:13.200
86,2020-07-03 00:16:55.200
87,2020-07-03 01:38:49.200
88,2020-07-03 02:28:55.200
89,2020-07-03 03:23:31.200
90,2020-07-03 04:42:50.400
91,2020-07-03 05:07:51.600
92,2020-07-03 05:37:51.600
93,2020-07-03 05:52:04.800
94,2020-07-03 07:28:30.000
95,2020-07-03 07:53:38.400
96,2020-07-03 08:06:39.600
97,2020-07-03 08:31:40.800
98,2020-07-03 08:57:43.200
99,2020-07-03 09:14:24.000
100,2020-07-03 09:41:42.000
101,2020-07-03 09:50:49.200
102,2020-07-03 10:20:49.200
103,2020-07-03 10:44:52.800
104,2020-07-03 10:57:54.000
105,2020-07-03 12:12:43.200
106,2020-07-03 12:25:12.000
107,2020-07-03 12:40:58.800
108,2020-07-03 13:40:51.600
109,2020-07-03 14:25:30.000
110,2020-07-03 15:02:56.400
111,2020-07-03 15:45:43.200
112,2020-07-03 16:24:03.600
113,2020-07-03 17:06:18.000
114,2020-07-03 17:40:22.800
115,2020-07-03 18:05:02.400
116,2020-07-03 18:56:09.600
117,2020-07-03 19:10:12.000
118,2020-07-03 19:24:07.200
119,2020-07-03 19:39:39.600
120,2020-07-03 19:51:00.000
121,2020-07-03 20:05:34.800
122,2020-07-03 20:15:46.800
123,2020-07-03 20:26:20.400
124,2020-07-03 20:49:01.200
125,2020-07-03 21:01:15.600
126,2020-07-03 21:12:36.000
127,2020-07-03 21:28:40.800
128,2020-07-03 21:56:34.800
129,2020-07-03 22:14:24.000
130,2020-07-03 22:28:19.200
131,2020-07-03 22:37:19.200
132,2020-07-03 22:44:49.200
133,2020-07-03 22:53:06.000
134,2020-07-03 23:03:28.800
135,2020-07-03 23:12:36.000
136,2020-07-03 23:19:55.200
137,2020-07-03 23:29:20.400
138,2020-07-03 23:37:12.000
139,2020-07-03 23:49:26.400
140,2020-07-04 00:33:18.000
141,2020-07-04 00:44:42.000
142,2020-07-04 00:55:44.400
143,2020-07-04 01:03:14.400
144,2020-07-04 01:12:46.800
145,2020-07-04 01:22:55.200
146,2020-07-04 01:36:21.600
147,2020-07-04 01:47:20.400
148,2020-07-04 01:58:04.800
149,2020-07-04 02:11:31.200
150,2020-07-04 02:20:02.400
151,2020-07-04 02:28:01.200
152,2020-07-04 02:36:46.800
153,2020-07-04 02:52:19.200
154,2020-07-04 03:25:12.000
155,2020-07-04 03:35:56.400
156,2020-07-04 03:45:46.800
157,2020-07-04 03:57:10.800
158,2020-07-04 04:04:58.800
159,2020-07-04 04:12:46.800
160,2020-07-04 04:22:26.400
161,2020-07-04 04:33:07.200
162,2020-07-04 05:03:00.000
163,2020-07-04 05:11:31.200
164,2020-07-04 05:26:27.600
165,2020-07-04 05:38:24.000
166,2020-07-04 05:50:52.800
167,2020-07-04 06:01:08.400
168,2020-07-04 06:21:50.400
169,2020-07-04 06:30:36.000
170,2020-07-04 06:39:57.600
171,2020-07-04 06:49:19.200
172,2020-07-04 07:00:00.000
173,2020-07-04 07:15:50.400
174,2020-07-04 07:34:30.000
175,2020-07-04 07:52:04.800
176,2020-07-04 08:01:58.800
177,2020-07-04 08:09:18.000
178,2020-07-04 09:51:54.000
179,2020-07-04 10:01:48.000
180,2020-07-04 10:14:49.200
181,2020-07-04 10:25:26.400
182,2020-07-04 10:36:25.200
183,2020-07-04 10:47:56.400
184,2020-07-04 10:56:31.200
185,2020-07-04 11:15:46.800
186,2020-07-04 11:24:21.600
187,2020-07-04 11:32:42.000
188,2020-07-04 11:48:57.600
189,2020-07-04 12:16:58.800
190,2020-07-04 12:24:28.800
191,2020-07-04 12:46:30.000
192,2020-07-04 12:54:36.000
193,2020-07-04 13:08:38.400
194,2020-07-04 13:16:44.400
195,2020-07-04 13:29:09.600
196,2020-07-04 13:39:50.400
197,2020-07-04 13:46:55.200
198,2020-07-04 14:53:02.400
199,2020-07-04 15:01:51.600
200,2020-07-04 15:11:13.200
201,2020-07-04 15:36:39.600
202,2020-07-04 15:47:06.000
203,2020-07-04 15:57:25.200
204,2020-07-04 16:08:13.200
205,2020-07-04 16:51:03.600
206,2020-07-04 17:04:01.200
207,2020-07-04 17:14:20.400
208,2020-07-04 17:22:04.800
209,2020-07-04 18:56:42.000
210,2020-07-04 19:10:48.000
211,2020-07-04 19:20:56.400
212,2020-07-04 19:33:50.400
213,2020-07-04 19:55:58.800
214,2020-07-04 20:24:21.600
215,2020-07-04 20:34:04.800
216,2020-07-04 20:44:45.600
217,2020-07-04 20:55:40.800
218,2020-07-04 21:17:49.200
219,2020-07-04 21:33:18.000
220,2020-07-04 21:45:07.200
221,2020-07-04 21:54:14.400
222,2020-07-04 22:03:25.200
223,2020-07-04 22:14:52.800
224,2020-07-04 22:37:30.000
225,2020-07-04 23:11:56.400
226,2020-07-04 23:22:08.400
227,2020-07-04 23:32:20.400
228,2020-07-04 23:41:34.800
229,2020-07-05 00:21:10.800
230,2020-07-05 00:43:48.000
231,2020-07-05 00:52:37.200
232,2020-07-05 01:06:07.200
233,2020-07-05 01:16:19.200
234,2020-07-05 01:28:58.800
235,2020-07-05 01:52:04.800
236,2020-07-05 02:08:45.600
237,2020-07-05 02:19:40.800
238,2020-07-05 02:35:09.600
239,2020-07-05 03:06:50.400
240,2020-07-05 03:16:30.000
241,2020-07-05 03:25:51.600
242,2020-07-05 03:48:00.000
243,2020-07-05 03:57:21.600
244,2020-07-05 04:25:26.400
245,2020-07-05 04:34:33.600
246,2020-07-05 05:18:46.800
247,2020-07-05 05:40:55.200
248,2020-07-05 05:56:24.000
249,2020-07-05 06:07:51.600
250,2020-07-05 06:20:13.200
251,2020-07-05 06:33:00.000
252,2020-07-05 07:50:31.200
253,2020-07-05 08:34:51.600
254,2020-07-05 08:47:16.800
255,2020-07-05 09:18:18.000
256,2020-07-05 09:30:25.200
257,2020-07-05 09:42:36.000
258,2020-07-05 09:53:16.800
259,2020-07-05 10:23:38.400
260,2020-07-05 10:37:26.400
261,2020-07-05 10:45:46.800
262,2020-07-05 11:05:16.800
263,2020-07-05 12:11:16.800
264,2020-07-05 12:21:43.200
265,2020-07-05 12:58:15.600
266,2020-07-05 13:14:31.200
267,2020-07-05 13:24:00.000
268,2020-07-05 13:33:10.800
269,2020-07-05 13:42:36.000
270,2020-07-05 14:06:57.600
271,2020-07-05 14:27:10.800
272,2020-07-05 14:36:39.600
273,2020-07-05 14:45:32.400
274,2020-07-05 14:52:08.400
275,2020-07-05 15:06:36.000
276,2020-07-05 15:29:06.000
277,2020-07-05 15:38:34.800
278,2020-07-05 15:45:46.800
279,2020-07-05 15:57:14.400
280,2020-07-05 16:07:22.800
281,2020-07-05 16:17:52.800
282,2020-07-05 16:27:21.600
283,2020-07-05 16:59:52.800
284,2020-07-05 17:07:40.800
285,2020-07-05 17:16:37.200
286,2020-07-05 17:22:01.200
287,2020-07-05 17:36:28.800
288,2020-07-05 17:43:44.400
289,2020-07-05 18:17:31.200
290,2020-07-05 18:28:33.600
291,2020-07-05 18:38:24.000
292,2020-07-05 19:21:50.400
293,2020-07-05 19:55:37.200
294,2020-07-05 20:05:06.000
295,2020-07-05 20:15:46.800
296,2020-07-05 20:24:32.400
297,2020-07-05 20:30:43.200
298,2020-07-05 20:36:14.400
299,2020-07-05 20:48:25.200
300,2020-07-05 20:55:51.600
301,2020-07-05 21:07:15.600
302,2020-07-05 21:14:20.400
303,2020-07-05 21:33:25.200
304,2020-07-05 21:42:57.600
305,2020-07-05 22:05:34.800
306,2020-07-05 22:45:36.000
307,2020-07-05 22:53:24.000
308,2020-07-05 23:03:18.000
309,2020-07-05 23:13:08.400
310,2020-07-05 23:20:31.200
311,2020-07-05 23:31:01.200
312,2020-07-05 23:39:14.400
313,2020-07-05 23:48:03.600
314,2020-07-06 00:07:08.400
315,2020-07-06 00:15:43.200
316,2020-07-06 00:24:10.800
317,2020-07-06 00:31:22.800
318,2020-07-06 01:10:58.800
319,2020-07-06 01:20:13.200
320,2020-07-06 01:29:52.800
321,2020-07-06 01:36:50.400
322,2020-07-06 01:46:58.800
323,2020-07-06 01:54:54.000
324,2020-07-06 02:23:49.200
325,2020-07-06 02:32:45.600
326,2020-07-06 03:01:40.800
327,2020-07-06 03:12:14.400
328,2020-07-06 03:23:27.600
329,2020-07-06 03:47:56.400
330,2020-07-06 03:57:46.800
331,2020-07-06 04:17:38.400
332,2020-07-06 04:27:28.800
333,2020-07-06 04:37:58.800
