latitude,longditude
61.608519088731754, 5.006017279661109
61.50690674062908, 4.81069773370833
61.39895530716999, 4.652116827915836
61.28002474644769, 4.537509186231144
61.143014473501516, 4.527196294796927
61.010922119657046, 4.51337108435848
60.87509901800251, 4.545847314971366
60.74751333292011, 4.605387067476999
60.61044242533132, 4.666610360939862
60.48177821350607, 4.713173512795227
60.351951055159766, 4.787060840130494
60.22611745382386, 4.880831445986997
60.08555248991279, 4.88684127962447
