latitude,longditude
63.45771037154408, 10.381634447365222
63.45771037154408, 10.083737856363038
63.54040570075698, 9.844871465421194
63.6710033706289, 9.763876537444888
63.62042220119642, 9.48108069529535
63.690480479742625, 9.228486350851101
63.794334633565306, 9.023939843665271
63.87424208774835, 8.780955059404157
63.915318074749656, 8.492668035853656
63.85203443380051, 8.216932709530571
63.78193339143001, 7.957458531753994
63.720908126419225, 7.8090305063519665
63.65975094463572, 7.659503015263713
63.55026537063909, 7.481389383518031
63.45105314258876, 7.27761756408121
63.35355665009143, 7.0657955758870195
63.161717738492115, 6.620124727133753
62.950778008420734, 6.24519789229974
62.682438928277776, 6.088978377785568
62.47425830064086, 6.190392229950217
