,latitude,longditude
316,58.287,5.538
317,58.248,5.576
318,58.21,5.614
319,58.171,5.652
320,58.133,5.69
321,58.094,5.728
322,58.056,5.766
323,58.017,5.803
324,57.979,5.841
325,57.94,5.879
326,57.901,5.917
327,57.863,5.955
328,57.824,5.993
329,57.786,6.031
330,57.747,6.068
331,57.709,6.106
332,57.67,6.144
333,57.632,6.182
334,57.593,6.22
335,57.555,6.258
336,57.516,6.296
337,57.478,6.333
338,57.439,6.371
339,57.4,6.409
340,57.362,6.447
341,57.323,6.485
342,57.285,6.523
343,57.246,6.561
344,57.208,6.598
345,57.169,6.636
346,57.131,6.674
347,57.092,6.712
348,57.054,6.75
349,57.015,6.788
350,56.976,6.826
351,56.938,6.863
352,56.899,6.901
353,56.861,6.939
354,56.822,6.977
355,56.784,7.015
356,56.745,7.053
357,56.707,7.091
358,56.668,7.128
359,56.63,7.166
360,56.591,7.204
361,56.553,7.242
362,56.514,7.28
363,56.475,7.318
364,56.437,7.356
365,56.398,7.393
366,56.36,7.431
367,56.321,7.469
368,56.283,7.507
369,56.244,7.545
370,56.206,7.583
371,56.167,7.621
372,56.129,7.658
373,56.09,7.696
374,56.052,7.734
375,56.013,7.772
376,55.974,7.81
377,55.936,7.848
378,55.897,7.886
379,55.859,7.923
380,55.82,7.961
381,55.782,7.999
382,55.743,8.037
383,55.705,8.075
384,55.666,8.113
385,55.628,8.15
386,55.589,8.188
387,55.55,8.226
388,55.512,8.264
389,55.473,8.302
